,loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
8471,Charged Off,45000.0,Source Verified,10+ years,MORTGAGE,18.79,5000,debt_consolidation,36,E
8476,Charged Off,50400.0,Verified,10+ years,MORTGAGE,20.25,14400,debt_consolidation,60,F
8478,Charged Off,45000.0,Verified,3 years,OWN,11.49,18000,debt_consolidation,60,B
8481,Charged Off,50000.0,Source Verified,8 years,RENT,17.49,13800,medical,60,D
8489,Charged Off,95000.0,Verified,2 years,RENT,17.49,16000,debt_consolidation,36,D
8503,Charged Off,98000.0,Verified,3 years,MORTGAGE,16.49,35000,credit_card,60,D
8514,Charged Off,50000.0,Source Verified,6 years,RENT,11.99,7200,small_business,36,B
8515,Charged Off,80000.0,Verified,2 years,MORTGAGE,10.99,10000,debt_consolidation,36,B
8522,Charged Off,36000.0,Verified,2 years,RENT,16.49,7600,other,60,D
8532,Charged Off,50000.0,Not Verified,3 years,MORTGAGE,10.99,5400,debt_consolidation,36,B
8533,Charged Off,39359.0,Verified,2 years,RENT,6.99,9000,moving,36,A
8534,Charged Off,32000.0,Not Verified,10+ years,RENT,19.69,13500,debt_consolidation,60,E
8558,Charged Off,60000.0,Not Verified,10+ years,OWN,15.99,7000,major_purchase,36,D
8559,Charged Off,73500.0,Verified,2 years,RENT,20.25,21000,small_business,60,F
8602,Charged Off,56964.0,Source Verified,< 1 year,MORTGAGE,7.49,15600,home_improvement,60,A
8604,Charged Off,53000.0,Source Verified,< 1 year,RENT,16.49,12000,debt_consolidation,60,D
8605,Charged Off,65000.0,Source Verified,10+ years,RENT,17.49,19200,debt_consolidation,60,D
8613,Charged Off,41196.0,Not Verified,< 1 year,OWN,12.99,3300,debt_consolidation,36,C
8623,Charged Off,93500.0,Verified,2 years,RENT,17.99,35000,debt_consolidation,60,E
8634,Charged Off,78000.0,Verified,7 years,MORTGAGE,17.49,15000,credit_card,60,D
8638,Charged Off,50400.0,Verified,4 years,RENT,8.49,7500,car,36,A
8642,Charged Off,60000.0,Verified,10+ years,RENT,17.49,24000,small_business,60,D
8649,Charged Off,72780.0,Not Verified,4 years,RENT,20.99,8000,other,60,F
8655,Charged Off,86400.0,Source Verified,10+ years,RENT,15.99,12000,car,60,D
8657,Charged Off,42000.0,Source Verified,4 years,RENT,18.39,9000,debt_consolidation,36,E
8687,Charged Off,58800.0,Source Verified,4 years,RENT,9.99,4000,other,36,B
8698,Charged Off,36000.0,Verified,10+ years,RENT,14.79,12800,other,36,C
8704,Charged Off,65000.0,Verified,10+ years,MORTGAGE,17.99,15000,debt_consolidation,36,E
8710,Charged Off,90000.0,Verified,10+ years,MORTGAGE,11.99,22000,debt_consolidation,60,B
8713,Charged Off,70000.0,Verified,10+ years,MORTGAGE,5.42,14500,credit_card,36,A
8714,Charged Off,57000.0,Verified,1 year,MORTGAGE,11.49,5200,home_improvement,60,B
8719,Charged Off,51996.0,Source Verified,< 1 year,RENT,15.62,3000,other,36,D
8743,Charged Off,37000.0,Verified,4 years,RENT,16.89,21000,major_purchase,60,D
8744,Charged Off,50000.0,Not Verified,6 years,MORTGAGE,5.42,10000,debt_consolidation,36,A
8745,Charged Off,108900.0,Source Verified,8 years,MORTGAGE,13.49,25000,debt_consolidation,60,C
8747,Charged Off,92000.0,Verified,2 years,RENT,17.99,31200,debt_consolidation,60,E
8788,Charged Off,12000.0,Not Verified,3 years,RENT,10.59,1600,debt_consolidation,36,B
8805,Charged Off,54000.0,Not Verified,< 1 year,MORTGAGE,5.99,15000,debt_consolidation,36,A
8815,Charged Off,73200.0,Verified,10+ years,MORTGAGE,15.99,20500,debt_consolidation,60,D
8816,Charged Off,33804.0,Not Verified,4 years,RENT,16.89,3000,other,60,D
8822,Charged Off,26400.0,Source Verified,< 1 year,RENT,10.59,8000,debt_consolidation,36,B
8829,Charged Off,92000.0,Verified,4 years,RENT,10.99,21000,debt_consolidation,60,B
8831,Charged Off,45000.0,Not Verified,10+ years,MORTGAGE,11.49,12000,credit_card,60,B
8841,Charged Off,60000.0,Not Verified,10+ years,MORTGAGE,5.42,8500,wedding,36,A
8843,Charged Off,65000.0,Source Verified,2 years,RENT,15.23,5000,small_business,36,C
8846,Charged Off,84996.0,Not Verified,< 1 year,RENT,13.99,10000,debt_consolidation,36,C
8851,Charged Off,65000.0,Verified,6 years,MORTGAGE,17.49,18825,debt_consolidation,60,D
8857,Charged Off,60000.0,Not Verified,5 years,RENT,16.89,3000,medical,36,D
8859,Charged Off,120000.0,Source Verified,3 years,RENT,21.36,35000,debt_consolidation,60,F
8860,Charged Off,50000.0,Not Verified,5 years,OWN,8.49,8300,debt_consolidation,36,A
8861,Charged Off,127000.0,Verified,1 year,MORTGAGE,19.69,30000,debt_consolidation,60,E
8872,Charged Off,50000.0,Verified,8 years,MORTGAGE,10.59,8000,wedding,36,B
8875,Charged Off,77000.0,Verified,5 years,MORTGAGE,21.36,20950,debt_consolidation,60,F
8877,Charged Off,55000.0,Verified,4 years,MORTGAGE,17.99,11400,small_business,36,E
8879,Charged Off,66000.0,Source Verified,10+ years,RENT,10.99,4500,debt_consolidation,36,B
8883,Charged Off,34800.0,Source Verified,< 1 year,RENT,11.99,7000,debt_consolidation,36,B
8891,Charged Off,37000.0,Source Verified,1 year,RENT,22.48,16400,debt_consolidation,60,G
8896,Charged Off,36000.0,Source Verified,2 years,MORTGAGE,11.99,13500,debt_consolidation,60,B
8900,Charged Off,27000.0,Source Verified,1 year,OWN,11.99,4800,home_improvement,36,B
8904,Charged Off,103000.0,Verified,10+ years,OWN,13.99,30000,small_business,60,C
8934,Charged Off,90000.0,Source Verified,6 years,MORTGAGE,10.59,14000,debt_consolidation,36,B
8936,Charged Off,24000.0,Verified,1 year,RENT,17.99,1000,debt_consolidation,36,E
8939,Charged Off,80000.0,Source Verified,2 years,MORTGAGE,14.79,12500,credit_card,60,C
8944,Charged Off,300000.0,Source Verified,10+ years,RENT,21.74,33500,debt_consolidation,60,F
8947,Charged Off,65000.0,Source Verified,3 years,RENT,22.11,4800,small_business,60,G
8953,Charged Off,54000.0,Verified,3 years,MORTGAGE,15.99,6500,debt_consolidation,36,D
8970,Charged Off,18835.2,Not Verified,2 years,RENT,16.49,6000,small_business,36,D
8983,Charged Off,91500.0,Verified,2 years,RENT,16.89,7500,credit_card,36,D
9004,Charged Off,51000.0,Not Verified,1 year,RENT,11.49,4000,other,36,B
9009,Charged Off,60000.0,Not Verified,2 years,RENT,20.62,9600,medical,36,F
9013,Charged Off,48000.0,Not Verified,7 years,RENT,6.99,2250,debt_consolidation,36,A
9021,Charged Off,40000.0,Source Verified,3 years,MORTGAGE,9.99,4000,debt_consolidation,36,B
9024,Charged Off,30000.0,Verified,8 years,RENT,15.62,22750,small_business,60,D
9045,Charged Off,32004.0,Not Verified,1 year,RENT,7.49,2500,other,36,A
9047,Charged Off,92000.0,Verified,10+ years,RENT,20.25,35000,other,60,F
9048,Charged Off,150000.0,Verified,< 1 year,MORTGAGE,7.49,35000,debt_consolidation,36,A
9054,Charged Off,32400.0,Not Verified,10+ years,MORTGAGE,10.99,4200,other,36,B
9071,Charged Off,53000.0,Not Verified,8 years,RENT,17.49,6000,moving,36,D
9076,Charged Off,50000.0,Verified,8 years,OWN,19.69,18800,home_improvement,60,E
9085,Charged Off,65000.0,Verified,8 years,RENT,18.39,22000,debt_consolidation,60,E
9086,Charged Off,60000.0,Source Verified,2 years,RENT,10.99,4200,debt_consolidation,36,B
9088,Charged Off,24000.0,Source Verified,< 1 year,RENT,13.49,1325,moving,36,C
9094,Charged Off,28000.0,Not Verified,2 years,RENT,10.59,6000,medical,36,B
9106,Charged Off,35832.0,Source Verified,< 1 year,RENT,16.89,4000,other,60,D
9130,Charged Off,55000.0,Source Verified,10+ years,MORTGAGE,13.49,8025,debt_consolidation,36,C
9140,Charged Off,36000.0,Source Verified,3 years,MORTGAGE,5.99,12000,debt_consolidation,36,A
9153,Charged Off,40000.0,Verified,10+ years,MORTGAGE,15.62,8000,debt_consolidation,36,D
9155,Charged Off,120000.0,Verified,8 years,MORTGAGE,11.49,15000,credit_card,36,B
9158,Charged Off,78000.0,Source Verified,10+ years,MORTGAGE,20.25,30000,debt_consolidation,60,F
9165,Charged Off,18000.0,Verified,10+ years,RENT,11.49,4000,debt_consolidation,36,B
9169,Charged Off,39000.0,Not Verified,3 years,RENT,15.62,2500,debt_consolidation,36,D
9172,Charged Off,45000.0,Source Verified,5 years,MORTGAGE,10.99,5000,car,60,B
9179,Charged Off,117000.0,Verified,10+ years,MORTGAGE,19.69,30000,debt_consolidation,60,E
9180,Charged Off,49000.0,Source Verified,1 year,MORTGAGE,17.49,4000,debt_consolidation,36,D
9181,Charged Off,48000.0,Source Verified,2 years,MORTGAGE,13.99,15000,credit_card,36,C
9186,Charged Off,66072.0,Not Verified,10+ years,RENT,11.49,2500,other,36,B
9198,Charged Off,105000.0,Not Verified,7 years,RENT,13.99,11200,car,36,C
9206,Charged Off,150000.0,Verified,9 years,RENT,19.29,21000,debt_consolidation,60,E
9214,Charged Off,58576.0,Not Verified,3 years,RENT,7.49,8400,small_business,36,A
9216,Charged Off,54000.0,Source Verified,1 year,RENT,21.36,5100,house,60,F
9221,Charged Off,41000.0,Source Verified,10+ years,OWN,20.62,14000,debt_consolidation,60,F
9224,Charged Off,60000.0,Verified,7 years,MORTGAGE,20.25,30000,debt_consolidation,60,F
9227,Charged Off,34560.0,Not Verified,2 years,RENT,19.29,1200,other,36,E
9236,Charged Off,40000.0,Verified,10+ years,MORTGAGE,19.69,13225,debt_consolidation,60,E
9239,Charged Off,52000.0,Not Verified,5 years,MORTGAGE,16.89,16800,debt_consolidation,60,D
9242,Charged Off,45000.0,Verified,3 years,MORTGAGE,13.49,22000,house,60,C
9245,Charged Off,36000.0,Verified,3 years,RENT,13.99,20000,other,60,C
9252,Charged Off,67656.0,Source Verified,4 years,RENT,15.99,5100,home_improvement,60,D
9259,Charged Off,75000.0,Verified,10+ years,MORTGAGE,18.39,30000,debt_consolidation,60,E
9260,Charged Off,96000.0,Verified,5 years,RENT,17.99,18000,debt_consolidation,60,E
9271,Charged Off,54000.0,Source Verified,9 years,RENT,15.99,8000,debt_consolidation,60,D
9283,Charged Off,120000.0,Source Verified,10+ years,MORTGAGE,15.99,8400,debt_consolidation,36,D
9290,Charged Off,25000.0,Verified,7 years,RENT,14.79,7500,credit_card,60,C
9294,Charged Off,37500.0,Verified,4 years,MORTGAGE,16.89,12050,debt_consolidation,60,D
9295,Charged Off,158000.0,Verified,4 years,RENT,20.99,35000,debt_consolidation,60,F
9304,Charged Off,46000.0,Source Verified,< 1 year,RENT,15.99,5000,car,36,D
9308,Charged Off,60000.0,Verified,10+ years,MORTGAGE,16.49,20000,debt_consolidation,60,D
9319,Charged Off,52302.0,Not Verified,10+ years,MORTGAGE,10.99,16000,debt_consolidation,60,B
9327,Charged Off,56000.0,Not Verified,6 years,MORTGAGE,10.99,5975,debt_consolidation,60,B
9329,Charged Off,25344.0,Source Verified,5 years,MORTGAGE,16.49,4000,other,36,D
9343,Charged Off,82320.0,Verified,10+ years,RENT,15.62,35000,debt_consolidation,60,D
9351,Charged Off,40000.0,Source Verified,10+ years,RENT,11.99,8000,debt_consolidation,36,B
9357,Charged Off,60000.0,Source Verified,3 years,MORTGAGE,15.62,4000,debt_consolidation,36,D
9376,Charged Off,91000.0,Verified,10+ years,MORTGAGE,21.74,32350,home_improvement,60,F
9378,Charged Off,39660.0,Source Verified,< 1 year,MORTGAGE,5.99,4500,car,36,A
9379,Charged Off,36000.0,Source Verified,4 years,MORTGAGE,15.99,10000,debt_consolidation,36,D
9381,Charged Off,80004.0,Source Verified,10+ years,RENT,13.99,10000,other,60,C
9407,Charged Off,40000.0,Source Verified,2 years,RENT,17.49,2600,debt_consolidation,60,D
9420,Charged Off,45000.0,Verified,8 years,RENT,13.49,4500,car,36,C
9445,Charged Off,74326.08,Verified,10+ years,MORTGAGE,19.29,25000,other,60,E
9450,Charged Off,78000.0,Not Verified,3 years,MORTGAGE,8.49,13000,debt_consolidation,36,A
9452,Charged Off,55460.0,Source Verified,< 1 year,MORTGAGE,13.99,3000,car,60,C
9461,Charged Off,95000.0,Verified,10+ years,RENT,10.99,25300,small_business,36,B
9464,Charged Off,18720.0,Source Verified,2 years,RENT,15.62,4000,debt_consolidation,36,D
9472,Charged Off,40800.0,Not Verified,10+ years,MORTGAGE,12.99,11300,debt_consolidation,60,C
9501,Charged Off,45000.0,Source Verified,1 year,RENT,14.79,12000,debt_consolidation,60,C
9502,Charged Off,60000.0,Verified,< 1 year,RENT,13.49,4500,other,36,C
9503,Charged Off,18000.0,Not Verified,2 years,RENT,10.59,9175,small_business,60,B
9505,Charged Off,42000.0,Not Verified,5 years,RENT,12.99,4000,debt_consolidation,36,C
9508,Charged Off,56000.0,Verified,6 years,MORTGAGE,7.49,12800,debt_consolidation,36,A
9519,Charged Off,36000.0,Source Verified,2 years,RENT,17.99,5000,major_purchase,36,E
9522,Charged Off,38000.0,Source Verified,< 1 year,MORTGAGE,10.59,10000,wedding,36,B
9530,Charged Off,40000.0,Not Verified,3 years,RENT,23.59,13650,debt_consolidation,60,G
9534,Charged Off,50000.0,Not Verified,7 years,MORTGAGE,15.23,12000,credit_card,60,C
9539,Charged Off,30000.0,Not Verified,6 years,OWN,7.49,6000,debt_consolidation,36,A
9543,Charged Off,26400.0,Not Verified,6 years,RENT,8.49,3500,debt_consolidation,36,A
9561,Charged Off,48000.0,Source Verified,2 years,RENT,15.23,4800,house,36,C
9567,Charged Off,42744.0,Not Verified,5 years,RENT,20.25,14000,credit_card,60,F
9568,Charged Off,65000.0,Not Verified,8 years,MORTGAGE,16.49,7750,debt_consolidation,60,D
9591,Charged Off,50000.0,Not Verified,10+ years,MORTGAGE,9.99,7200,other,36,B
9593,Charged Off,150000.0,Verified,10+ years,MORTGAGE,10.99,10000,home_improvement,36,B
9604,Charged Off,50000.0,Source Verified,10+ years,MORTGAGE,15.99,6400,other,36,D
9605,Charged Off,50000.0,Not Verified,9 years,MORTGAGE,7.49,9800,debt_consolidation,36,A
9617,Charged Off,26004.0,Source Verified,< 1 year,RENT,11.99,4000,debt_consolidation,60,B
9619,Charged Off,26000.0,Not Verified,5 years,RENT,16.89,11200,wedding,36,D
9628,Charged Off,88000.0,Source Verified,3 years,MORTGAGE,15.23,12000,credit_card,36,C
9634,Charged Off,76500.0,Not Verified,10+ years,MORTGAGE,7.49,14500,debt_consolidation,36,A
9636,Charged Off,42000.0,Source Verified,1 year,RENT,11.49,8450,debt_consolidation,60,B
9639,Charged Off,110000.0,Not Verified,10+ years,MORTGAGE,11.49,9000,debt_consolidation,36,B
9644,Charged Off,28000.0,Verified,1 year,RENT,11.49,14675,debt_consolidation,60,B
9655,Charged Off,60000.0,Not Verified,10+ years,MORTGAGE,11.49,4800,credit_card,36,B
9657,Charged Off,42000.0,Source Verified,9 years,RENT,10.99,4000,moving,36,B
9663,Charged Off,35000.0,Not Verified,< 1 year,RENT,8.49,6000,debt_consolidation,36,A
9673,Charged Off,54000.0,Not Verified,8 years,MORTGAGE,8.49,2250,home_improvement,36,A
9678,Charged Off,60000.0,Source Verified,< 1 year,MORTGAGE,16.89,10000,debt_consolidation,60,D
9694,Charged Off,84000.0,Verified,10+ years,MORTGAGE,18.79,12000,debt_consolidation,60,E
9695,Charged Off,110000.0,Verified,6 years,MORTGAGE,10.59,35000,small_business,36,B
9699,Charged Off,48996.0,Source Verified,4 years,RENT,13.49,2800,other,60,C
9705,Charged Off,57600.0,Source Verified,3 years,RENT,10.59,4000,car,60,B
9712,Charged Off,55000.0,Source Verified,6 years,RENT,12.99,3000,home_improvement,60,C
9722,Charged Off,67000.0,Not Verified,2 years,RENT,13.99,3600,credit_card,36,C
9734,Charged Off,75000.0,Verified,10+ years,RENT,12.99,35000,debt_consolidation,36,C
9737,Charged Off,93600.0,Verified,6 years,MORTGAGE,10.99,7750,car,60,B
9738,Charged Off,50000.0,Verified,1 year,RENT,18.39,13000,debt_consolidation,36,E
9751,Charged Off,35000.0,Source Verified,2 years,OWN,11.99,6000,debt_consolidation,36,B
9752,Charged Off,52000.0,Not Verified,8 years,MORTGAGE,9.99,7000,home_improvement,36,B
9754,Charged Off,39000.0,Not Verified,3 years,RENT,15.62,6000,debt_consolidation,36,D
9755,Charged Off,35316.0,Source Verified,10+ years,MORTGAGE,11.99,15875,debt_consolidation,60,B
9765,Charged Off,48500.0,Verified,7 years,MORTGAGE,17.49,20000,home_improvement,60,D
9777,Charged Off,56000.0,Verified,10+ years,MORTGAGE,11.99,17000,debt_consolidation,60,B
9778,Charged Off,95000.0,Source Verified,10+ years,MORTGAGE,15.99,15000,debt_consolidation,60,D
9779,Charged Off,25000.0,Verified,10+ years,RENT,10.59,12000,credit_card,60,B
9789,Charged Off,52500.0,Not Verified,1 year,MORTGAGE,7.49,5000,moving,36,A
9792,Charged Off,36000.0,Verified,3 years,MORTGAGE,11.99,4400,other,36,B
9794,Charged Off,25000.0,Verified,3 years,OWN,13.49,3500,medical,36,C
9811,Charged Off,68400.0,Verified,< 1 year,RENT,18.39,20000,debt_consolidation,60,E
9812,Charged Off,60000.0,Not Verified,8 years,MORTGAGE,7.49,7500,debt_consolidation,36,A
9827,Charged Off,83000.0,Source Verified,5 years,RENT,15.99,6000,wedding,60,D
9831,Charged Off,57600.0,Not Verified,1 year,MORTGAGE,10.99,4800,home_improvement,36,B
9836,Charged Off,26000.0,Not Verified,2 years,OWN,7.49,7100,debt_consolidation,36,A
9844,Charged Off,55900.0,Source Verified,10+ years,MORTGAGE,17.99,18550,debt_consolidation,60,E
9845,Charged Off,96000.0,Verified,10+ years,MORTGAGE,17.49,35000,small_business,60,D
9848,Charged Off,50000.0,Verified,5 years,RENT,13.99,4600,debt_consolidation,36,C
9851,Charged Off,45000.0,Source Verified,5 years,RENT,16.49,5800,credit_card,60,D
9865,Charged Off,180000.0,Source Verified,10+ years,MORTGAGE,17.99,35000,debt_consolidation,60,E
9866,Charged Off,55000.0,Source Verified,1 year,MORTGAGE,12.99,7000,small_business,36,C
9873,Charged Off,80000.0,Source Verified,3 years,RENT,13.49,5000,debt_consolidation,36,C
9885,Charged Off,108000.0,Verified,10+ years,MORTGAGE,22.11,15000,debt_consolidation,60,G
9893,Charged Off,59040.0,Source Verified,< 1 year,RENT,11.99,11200,other,60,B
9900,Charged Off,31400.0,Source Verified,7 years,RENT,14.79,3000,car,36,C
9901,Charged Off,52000.0,Not Verified,5 years,MORTGAGE,10.99,6000,debt_consolidation,36,B
9910,Charged Off,85356.0,Source Verified,10+ years,MORTGAGE,13.99,12000,other,60,C
9914,Charged Off,45000.0,Not Verified,10+ years,MORTGAGE,13.99,3000,debt_consolidation,36,C
9916,Charged Off,66000.0,Verified,2 years,MORTGAGE,19.29,26375,debt_consolidation,60,E
9919,Charged Off,45000.0,Source Verified,3 years,RENT,20.99,17500,debt_consolidation,60,F
9922,Charged Off,87000.0,Not Verified,10+ years,MORTGAGE,15.99,8000,home_improvement,36,D
9943,Charged Off,35000.0,Source Verified,2 years,OWN,13.99,2000,other,36,C
9945,Charged Off,21312.0,Verified,< 1 year,RENT,10.59,8875,debt_consolidation,36,B
9952,Charged Off,33000.0,Not Verified,4 years,RENT,9.99,6000,major_purchase,36,B
9954,Charged Off,60000.0,Source Verified,10+ years,RENT,17.49,15600,debt_consolidation,60,D
9963,Charged Off,26400.0,Verified,3 years,RENT,11.49,9000,small_business,36,B
9966,Charged Off,52000.0,Not Verified,10+ years,MORTGAGE,16.49,7950,debt_consolidation,60,D
9969,Charged Off,40300.0,Source Verified,1 year,MORTGAGE,16.89,6125,debt_consolidation,36,D
9983,Charged Off,105000.0,Source Verified,< 1 year,RENT,22.85,4800,car,60,G
9987,Charged Off,53000.0,Verified,10+ years,MORTGAGE,18.39,35000,small_business,60,E
10000,Charged Off,34560.0,Not Verified,8 years,RENT,16.89,7550,other,36,D
10002,Charged Off,25164.0,Source Verified,< 1 year,RENT,16.89,14675,debt_consolidation,60,D
10003,Charged Off,99000.0,Source Verified,3 years,MORTGAGE,15.23,15000,debt_consolidation,60,C
10009,Charged Off,29004.0,Not Verified,5 years,RENT,19.29,6400,debt_consolidation,60,E
10057,Charged Off,30000.0,Verified,2 years,MORTGAGE,10.99,6100,debt_consolidation,60,B
10073,Charged Off,63000.0,Not Verified,6 years,MORTGAGE,5.99,2600,small_business,36,A
10079,Charged Off,40000.0,Source Verified,1 year,RENT,10.59,9250,debt_consolidation,36,B
10081,Charged Off,51600.0,Verified,6 years,MORTGAGE,20.99,20250,debt_consolidation,60,F
10082,Charged Off,54000.0,Verified,10+ years,MORTGAGE,18.39,20000,other,60,E
10085,Charged Off,45292.8,Not Verified,3 years,MORTGAGE,5.99,3250,major_purchase,36,A
10086,Charged Off,20000.0,Not Verified,1 year,RENT,11.49,3000,debt_consolidation,36,B
10102,Charged Off,36000.0,Source Verified,2 years,RENT,8.49,2500,home_improvement,36,A
10104,Charged Off,254616.0,Source Verified,9 years,MORTGAGE,21.36,35000,debt_consolidation,60,F
10117,Charged Off,96000.0,Verified,8 years,MORTGAGE,19.69,25000,moving,60,E
10123,Charged Off,56000.0,Not Verified,10+ years,RENT,5.42,2000,moving,36,A
10134,Charged Off,32500.0,Source Verified,< 1 year,RENT,11.49,12000,debt_consolidation,36,B
10139,Charged Off,48000.0,Not Verified,1 year,RENT,5.42,4325,credit_card,36,A
10148,Charged Off,26004.0,Verified,3 years,MORTGAGE,17.49,12300,home_improvement,60,D
10166,Charged Off,26400.0,Not Verified,3 years,RENT,11.49,4000,major_purchase,36,B
10167,Charged Off,150000.0,Source Verified,5 years,MORTGAGE,20.99,15000,home_improvement,60,F
10178,Charged Off,51996.0,Verified,< 1 year,MORTGAGE,15.99,35000,home_improvement,60,D
10183,Charged Off,60000.0,Verified,2 years,RENT,11.99,23000,debt_consolidation,60,B
10186,Charged Off,117300.0,Verified,10+ years,OWN,19.29,8000,other,60,E
10209,Charged Off,42000.0,Not Verified,3 years,MORTGAGE,10.59,11000,small_business,36,B
10216,Charged Off,67200.0,Not Verified,10+ years,MORTGAGE,21.74,20700,debt_consolidation,60,F
10218,Charged Off,15000.0,Not Verified,3 years,MORTGAGE,16.89,2000,debt_consolidation,36,D
10229,Charged Off,32160.0,Verified,10+ years,MORTGAGE,14.79,21600,small_business,60,C
10231,Charged Off,82000.0,Verified,10+ years,OWN,21.36,25000,debt_consolidation,60,F
10238,Charged Off,45000.0,Verified,2 years,MORTGAGE,19.69,6500,debt_consolidation,60,E
10242,Charged Off,57000.0,Verified,1 year,MORTGAGE,7.49,4775,small_business,36,A
10243,Charged Off,62550.0,Verified,5 years,RENT,15.23,20000,debt_consolidation,60,C
10248,Charged Off,35000.0,Source Verified,5 years,MORTGAGE,8.49,4000,home_improvement,36,A
10271,Charged Off,60000.0,Not Verified,5 years,RENT,5.99,5125,debt_consolidation,36,A
10274,Charged Off,63000.0,Not Verified,10+ years,RENT,11.99,6000,debt_consolidation,36,B
10275,Charged Off,1250000.0,Verified,2 years,MORTGAGE,12.99,15775,debt_consolidation,60,C
10278,Charged Off,72000.0,Verified,10+ years,MORTGAGE,17.99,19600,debt_consolidation,60,E
10283,Charged Off,65000.0,Verified,3 years,RENT,7.49,9600,small_business,36,A
10286,Charged Off,57000.0,Verified,10+ years,MORTGAGE,13.49,17000,credit_card,60,C
10288,Charged Off,80000.0,Not Verified,1 year,RENT,14.79,19475,small_business,60,C
10291,Charged Off,78000.0,Verified,10+ years,OWN,15.99,26000,other,60,D
10297,Charged Off,40000.0,Not Verified,3 years,MORTGAGE,19.29,12000,debt_consolidation,60,E
10308,Charged Off,38000.0,Verified,10+ years,RENT,12.99,6000,other,36,C
10315,Charged Off,33280.0,Verified,1 year,RENT,23.22,10000,debt_consolidation,60,G
10336,Charged Off,42000.0,Source Verified,< 1 year,RENT,16.89,20500,debt_consolidation,60,D
10352,Charged Off,31200.0,Source Verified,< 1 year,RENT,12.99,10600,debt_consolidation,36,C
10358,Charged Off,55000.0,Not Verified,3 years,RENT,13.99,6000,debt_consolidation,36,C
10361,Charged Off,110000.0,Verified,2 years,RENT,19.29,25000,debt_consolidation,60,E
10365,Charged Off,80000.0,Source Verified,1 year,RENT,19.29,11200,small_business,60,E
10382,Charged Off,18000.0,Not Verified,10+ years,RENT,11.99,6000,small_business,60,B
10386,Charged Off,60000.0,Verified,2 years,MORTGAGE,13.99,15000,debt_consolidation,60,C
10400,Charged Off,22200.0,Source Verified,6 years,RENT,17.49,3975,debt_consolidation,60,D
10401,Charged Off,51600.0,Verified,6 years,MORTGAGE,13.49,21725,credit_card,60,C
10413,Charged Off,13200.0,Verified,3 years,RENT,16.89,4475,major_purchase,36,D
10416,Charged Off,31200.0,Verified,2 years,MORTGAGE,16.49,13475,debt_consolidation,60,D
10419,Charged Off,67000.0,Source Verified,3 years,MORTGAGE,22.11,20000,debt_consolidation,60,G
10424,Charged Off,30000.0,Source Verified,4 years,RENT,19.29,3000,moving,36,E
10440,Charged Off,43200.0,Not Verified,4 years,MORTGAGE,7.49,6350,major_purchase,36,A
10451,Charged Off,48500.0,Source Verified,< 1 year,RENT,19.69,12400,debt_consolidation,60,E
10458,Charged Off,50000.0,Source Verified,6 years,RENT,19.69,25000,small_business,60,E
10466,Charged Off,60000.0,Verified,10+ years,RENT,20.62,20000,small_business,60,F
10474,Charged Off,35000.0,Not Verified,9 years,OWN,17.49,14000,debt_consolidation,60,D
10485,Charged Off,100650.0,Verified,10+ years,MORTGAGE,20.25,17000,debt_consolidation,60,F
10487,Charged Off,27000.0,Not Verified,< 1 year,MORTGAGE,15.99,1000,other,36,D
10489,Charged Off,45000.0,Not Verified,6 years,RENT,5.99,5000,moving,36,A
10493,Charged Off,68400.0,Not Verified,7 years,OWN,18.39,4000,debt_consolidation,36,E
10495,Charged Off,28800.0,Source Verified,1 year,RENT,22.11,14125,moving,60,G
10504,Charged Off,59400.0,Not Verified,10+ years,MORTGAGE,13.99,7000,debt_consolidation,60,C
10506,Charged Off,40000.0,Source Verified,6 years,OWN,13.49,12400,debt_consolidation,60,C
10533,Charged Off,35000.0,Not Verified,< 1 year,RENT,16.49,15250,debt_consolidation,60,D
10534,Charged Off,57000.0,Not Verified,7 years,RENT,15.62,1600,other,36,D
10541,Charged Off,26004.0,Source Verified,< 1 year,RENT,16.49,1500,other,60,D
10543,Charged Off,27012.0,Not Verified,10+ years,MORTGAGE,5.99,6000,debt_consolidation,36,A
10551,Charged Off,55000.0,Not Verified,< 1 year,RENT,16.89,16000,debt_consolidation,60,D
10555,Charged Off,27600.0,Verified,3 years,MORTGAGE,15.62,2250,debt_consolidation,36,D
10557,Charged Off,48000.0,Not Verified,1 year,RENT,12.99,6000,medical,36,C
10558,Charged Off,51000.0,Verified,10+ years,MORTGAGE,11.99,20000,debt_consolidation,60,B
10559,Charged Off,55992.0,Verified,7 years,RENT,19.69,9525,debt_consolidation,60,E
10562,Charged Off,69000.0,Verified,< 1 year,RENT,16.49,35000,debt_consolidation,60,D
10569,Charged Off,65000.0,Verified,5 years,MORTGAGE,12.99,35000,home_improvement,60,C
10574,Charged Off,155000.0,Not Verified,5 years,MORTGAGE,16.49,8275,debt_consolidation,36,D
10578,Charged Off,79000.0,Not Verified,10+ years,MORTGAGE,18.79,14000,debt_consolidation,60,E
10585,Charged Off,195000.0,Verified,4 years,MORTGAGE,20.62,27200,major_purchase,60,F
10589,Charged Off,90000.0,Verified,10+ years,MORTGAGE,16.89,35000,debt_consolidation,60,D
10607,Charged Off,110000.0,Source Verified,< 1 year,MORTGAGE,10.59,7000,debt_consolidation,36,B
